title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
شقة في ارقي كمبوند بالعاصمة الادارية مقدم 540 الف,Apartment,"Ravie, New Capital Compounds, New Capital City, Cairo",132,3,2,['Balcony'],5412000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ravie-7319508.html
امتلك شقة في العاصمة الادارية ب26 الف للمتر تقسيط,Apartment,"Stau, New Capital Compounds, New Capital City, Cairo",135,3,3,['Balcony'],3615000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7319449.html
شقة للبيع بكمبوند البوسكو بمقدم 800 فقط بالعاصمة,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",140,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",8550000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7318498.html
Apartment RTM+Finished From Al-Attal Over 7 Years,Apartment,"Park Lane, New Capital Compounds, New Capital City, Cairo",50,1,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",3000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-park-lane-7317454.html
Duplex Finished RTM At Lowest Price in R3 ONLY5%DP,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",14460000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7317192.html
"Fully Finished Apartment 180m RTM With ONLY 1,2%Dp",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",183,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7316067.html
شقة استلام فوري ف العاصمة الادارية كمبوند المقصد,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",122,3,2,"['Balcony', 'View of Landmark', 'Shared Gym']",4413247,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7315088.html
شقه 3 غرف بقلب العاصمه اطول فتره سداد والسعر مميز ,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",145,3,2,"['Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",6901650,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7314086.html
شقة مميزة استلام فوري في قلب العاصمة الادارية,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",129,2,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",7079000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7314082.html
Apartment Fully Finished Ready For Showing Over12Y,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",127,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7313981.html
شقة مميزة استلام فوري فيو بحيرة باقل مقدم 800 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",177,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark']",8265000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7313533.html
3 bedroom apartment + 50% discount for sale in R8 ,Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3450000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7313465.html
Apartment 3BR for Sale in ElMaqsad | Ready to Move,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",172,3,3,"['Balcony', 'Covered Parking', 'Built in Wardrobes', 'View of Landmark', 'Lobby in Building']",6650000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7313280.html
شقة للبيع بكمبوند De joya بالعاصمة بمقدم 750 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",160,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6350000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7312613.html
شقة 160م للبيع بكمبوند ilbosco بمقدم 850 الف فقط,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",140,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",9350000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7312543.html
Town House For Sale In Celia With Acs &amp; kitchen,Townhouse,"Celia, New Capital Compounds, New Capital City, Cairo",213,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",16500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7311579.html
Apartment 200m Finished At Lowest Price|ONLY10%DP,Apartment,"Sky Capital, New Capital Compounds, New Capital City, Cairo",205,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",11400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-sky-capital-7310559.html
Apartment At Lowest Price in New Capital Over 10 Y,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",109,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7310445.html
Prime Location Town House The Best Price,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",14500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7310102.html
Hotel Apartment Furnished Managed By Concord 10%Dp,Hotel Apartment,"4T1, Downtown Area, New Capital City, Cairo",55,1,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",8300000,https://www.propertyfinder.eg/en/plp/buy/hotel-apartment-for-sale-cairo-new-capital-city-downtown-area-4t1-7310049.html
شقه ارضي بجاردن باقل سعر في العاصمه بحري 3 غرف,Apartment,"Yaru new capital Compound, New Capital Compounds, New Capital City, Cairo",133,3,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",3662351,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-yaru-new-capital-compound-7309521.html
شقة فيو البرج الايقوني ادفع 800 الف واستلم فوري,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",164,3,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",6040000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7309519.html
Apartment Corner Ready For Showing R7+Over7Years,Apartment,"Stau, New Capital Compounds, New Capital City, Cairo",220,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",5400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7309480.html
شقة بانوراما في R7متشطبة استلام فوري بمقدم 900 الف,Apartment,"Sky Capital, New Capital Compounds, New Capital City, Cairo",170,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking']",9044000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-sky-capital-7309362.html
Apartment Ready For Showing in New Capital Over10Y,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",5539000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7308940.html
"Apartment for sale, resale by owner-in Bosco City",Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",114,2,1,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",4300000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7308335.html
Apartment for sale with immediate delivery in Oia ,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'Lobby in Building']",8250000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7308123.html
"Corner apartment for sale , in OIA Compound ",Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",154,3,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",3811500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7307933.html
Golden Investment Opportunity–apartment in Celia,Apartment,"The Capital Way, New Capital Compounds, New Capital City, Cairo",180,3,2,"['Maids Room', 'Balcony', 'Security', 'Covered Parking', 'Shared Gym']",6052000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-capital-way-7307371.html
شقة للبيع بكمبوند البوسكو بمقدم 550 الف فقط,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",140,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",8350000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7307282.html
شقة للبيع بكمبوند Dejoya بالعاصمة بمقدم 650 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",160,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6250000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7307247.html
Apartment For Sale - 3rd floor - Ready to move,Apartment,"Sky Capital, New Capital Compounds, New Capital City, Cairo",180,3,3,"['Study', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",7687500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-sky-capital-7306462.html
Fully furnished hotel apartments in Downtown,Hotel Apartment,"4T4, Downtown Area, New Capital City, Cairo",33,1,1,"['Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",4446000,https://www.propertyfinder.eg/en/plp/buy/hotel-apartment-for-sale-cairo-new-capital-city-downtown-area-4t4-7306408.html
"Apartment for sale, immediate delivery, in the cap",Apartment,"The City, New Capital Compounds, New Capital City, Cairo",115,2,1,"['Balcony', 'Security', 'Built in Wardrobes', 'Lobby in Building']",7600000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7306059.html
شقه بسعر لقطه في كمبوند نيو جاردنز,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",126,2,2,"['Balcony', 'Private Garden']",3500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7305223.html
Villa 270m Ready For Showing in LaVerde Over10Year,Villa,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",270,4,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",12600000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7305038.html
Ready to move apartment + 10 YRs installments,Apartment,"The City, New Capital Compounds, New Capital City, Cairo",115,2,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3820000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7304949.html
Apartment 3BR Finished At Lowest Price in R7|10%DP,Apartment,"Sky Capital, New Capital Compounds, New Capital City, Cairo",155,3,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8680000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-sky-capital-7304898.html
Apartment 200m Next to Diplomatic District 0%Dp,Apartment,"RI8 New Capital, New Capital Compounds, New Capital City, Cairo",202,4,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",8940000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ri8-new-capital-7304783.html
"Apartment for sale in Bahri, Dejoya Compound",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",111,2,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'Lobby in Building']",4407000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7304431.html
Studio for sale corner in the new capital,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",70,1,1,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",3800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7304411.html
"Distinctive apartment for sale in Dejoya 2, ",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",139,3,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",6207500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7304392.html
3BEDROOMS RTM+Finished in New Capital Over 12 Year,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",182,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",9000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7304319.html
شقة مميزة في قلب العاصمة الاداريةR8باقل مقدم700الف,Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",209,4,3,"['Study', 'Balcony', 'Covered Parking']",7006000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7304072.html
"Apart sale AlMaqsad,immediate,5%dp, prime location",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",155,3,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Water', 'Lobby in Building']",8380000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7303575.html
"Apartment for sale Al Maqsad,capital,minimal cash",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",157,2,2,"['Balcony', 'Security', 'View of Landmark', 'Lobby in Building']",8651000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7303001.html
50% off duplex for sale in new capital - City Oval,Duplex,"City Oval, New Capital Compounds, New Capital City, Cairo",333,5,5,"['Maids Room', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5675000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7302991.html
Apartment 4BR Ready For Showing in R8 Over 8 Years,Apartment,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",255,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",11900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7302935.html
"Apartment for sale in Al Maqsad,finished,City Edge",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking']",7454000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7302912.html
"Apartment for sale, fully finished in al maqsad 5%",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",158,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6785000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7302735.html
Fully finished apartment for sale in the New Capit,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",125,2,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",6237500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7302416.html
Prime Location Twin house delivered at La Vista City,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,3,5,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Walk-in Closet']",17000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7301841.html
شقة استلام فورى متشطبة جوار مدينتى والبرج الايقونى,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",189,3,3,"['Balcony', 'Shared Pool', 'Shared Gym']",9900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7301469.html
3BR Apartment for Sale in New Capital City,Apartment,"Kardia, New Capital Compounds, New Capital City, Cairo",148,3,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",6085000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-kardia-7301295.html
3BR Apartment for Sale in New Capital City,Apartment,"Kardia, New Capital Compounds, New Capital City, Cairo",188,3,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark']",7920000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-kardia-7301291.html
Duplex 4BR RTM Finished in New Capital Over10Years,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",392,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8600000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7301251.html
Twin house for sale prime location  Ready to move,Twin House,"IL Bosco, New Capital Compounds, New Capital City, Cairo",248,4,4,"['Balcony', 'Security', 'Covered Parking']",13500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7300891.html
شقة بيع بالعاصمه الإدارية R3 متشطبه متسلمه ٣عدادات,Apartment,"RI8 New Capital, New Capital Compounds, New Capital City, Cairo",155,2,3,"['Central A/C', 'Shared Spa', 'Security', 'Covered Parking', 'Lobby in Building']",6250000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ri8-new-capital-7299999.html
شقة للبيع بالعاصمه الادارية R7  امامى بحرى  مميزه ,Apartment,"RI8 New Capital, New Capital Compounds, New Capital City, Cairo",158,3,3,"['Shared Spa', 'Security', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",6000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ri8-new-capital-7299994.html
Ground floor resale apartment with garden    ,Apartment,"R7, New Capital City, Cairo",160,3,2,"['Balcony', 'Private Garden', 'Security', 'Shared Gym']",3000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-7299808.html
Luxury Villa Garden view | Best Priced,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,3,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",28000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7299511.html
Apartment At Lowest price in New Capital Over 12 Y,Apartment,"The Islands, New Capital City, Cairo",147,3,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7031000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-the-islands-7299119.html
Apartment 3BR Ready To Move Next To BUE Over10Y,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",154,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7299028.html
شقة للبيع فى العاصمة الاداريه بالتقسيط,Apartment,"Bleu Vert, New Capital Compounds, New Capital City, Cairo",102,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",6000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-bleu-vert-7298975.html
Townhouse At Lowest Price From EGYGAB Over 12 Year,Villa,"The Islands, New Capital City, Cairo",244,4,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",19800000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-the-islands-7298943.html
Apartment 2BR Ready To Move in RHODES Over 5 Years,Apartment,"Rhodes, New Capital Compounds, New Capital City, Cairo",133,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",4830000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rhodes-7298935.html
Duplex with Garden Lagoon View in R8 Over 8 Years,Duplex,"Lumia Residence, R7, New Capital City, Cairo",219,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",10000000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-r7-lumia-residence-7298860.html
Apartment Ready To Move+Showing in iLBOSCO |10%DP,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",137,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7390000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7298761.html
"villa standalone For Sale , lagoon ,La Vista City",Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",386,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'View of Water', 'Shared Gym', ""Children's Pool""]",28000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7298702.html
Apartment Next to Diplomatic District in R8 Over9Y,Apartment,"Armonia, New Capital Compounds, New Capital City, Cairo",71,1,1,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",4788000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-armonia-7298519.html
Lumière 65m Apt – Lagoon View &amp; Easy Installments,Apartment,"Lumia Residence, R7, New Capital City, Cairo",65,1,1,"['Balcony', 'Security', 'View of Landmark']",2400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7298273.html
