title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
شقة استلام فوري في المقصد ريزيدنس,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",122,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3120000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7576632.html
standalone ready to move with lowest price ,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",24000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7576622.html
Pay Only 940K &amp; get  130m now at IL-Bosco!!,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",130,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",9480000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7576393.html
شقة استلام فوري في المقصد ريزيدنس,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3516000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7576330.html
شقة استلام فوري في المقصد ريزيدنس,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4431000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7576326.html
Apartment for sale in the New Administrative Capit,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",143,3,2,['Balcony'],9216800,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7575971.html
لسرعة البيع شقة استلام فوري في اميز لوكيشن المقصد,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",113,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",3512153,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575870.html
 *شقة ٣ غرف للبيع بسعر لقطه   واقساط لحد 10 سنين ف,Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",155,3,3,"['Balcony', 'Shared Spa', 'Covered Parking']",3644000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7575556.html
Apartment for sale in Al Maqsad R3 Compound,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4479000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575549.html
شقة للبيع  غرفتين  بحري فيو مفتوح  بمقدم 10٪ فقط و,Apartment,"Qamary, R8, New Capital City, Cairo",111,2,2,"['Balcony', 'Security', 'Covered Parking']",4621336,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r8-qamary-7575386.html
Without Over Town Corner finished - Inst till 2031,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",395,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",21525675,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575381.html
Apartment for sale in the New Administrative Capit,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",176,3,2,['Balcony'],13724020,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7575261.html
 لدواعي السفر  و سرعة البيع  شقة ريسيل ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",145,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",3464000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575202.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",135,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",4513000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575191.html
